N_agents,sigma,steps,N_simulations,exponent,monopoly%,commune%,dynamic
10,0.1,10000,10,5.0,0.0,0.9964203579642035,commune
10,0.1,10000,10,5.05,0.0,0.9961103889611038,commune
10,0.1,10000,10,5.1,0.0,0.9947705229477053,commune
10,0.1,10000,10,5.15,0.0,0.9944105589441055,commune
10,0.1,10000,10,5.2,0.0,0.9927207279272073,commune
10,0.1,10000,10,5.25,0.0,0.9911808819118088,commune
10,0.1,10000,10,5.3,0.0,0.9902709729027098,commune
10,0.1,10000,10,5.35,0.0,0.9884411558844116,commune
10,0.1,10000,10,5.4,0.0,0.9870412958704129,commune
10,0.1,10000,10,5.45,0.0,0.9848215178482151,commune
10,0.1,10000,10,5.5,0.0,0.9819818018198179,commune
10,0.1,10000,10,5.55,0.0,0.9785121487851216,commune
10,0.1,10000,10,5.6,0.0,0.9768523147685231,commune
10,0.1,10000,10,5.65,0.0,0.9717428257174282,commune
10,0.1,10000,10,5.7,0.0,0.9694830516948306,commune
10,0.1,10000,10,5.75,0.0,0.9651734826517349,commune
10,0.1,10000,10,5.8,0.0,0.9624237576242377,commune
10,0.1,10000,10,5.85,0.0,0.9590440955904411,commune
10,0.1,10000,10,5.9,0.0,0.9502649735026498,commune
10,0.1,10000,10,5.95,0.06116388361163884,0.88999100089991,mixed
10,0.1,10000,10,6.0,0.0,0.9396160383961606,commune
10,0.1,10000,10,6.05,0.0,0.9372362763723627,commune
10,0.1,10000,10,6.1,0.0,0.9269473052694732,commune
10,0.1,10000,10,6.15,0.09947005299470053,0.8263573642635738,mixed
10,0.1,10000,10,6.2,0.07074292570742927,0.8497950204979503,mixed
10,0.1,10000,10,6.25,0.11481851814818518,0.8001399860013997,mixed
10,0.1,10000,10,6.3,0.10743925607439256,0.7980001999800019,mixed
10,0.1,10000,10,6.35,0.2314768523147685,0.6785221477852215,mixed
10,0.1,10000,10,6.4,0.36691330866913313,0.5519048095190481,mixed
10,0.1,10000,10,6.45,0.5841115888411159,0.3545745425457455,mixed
10,0.1,10000,10,6.5,0.47525247475252475,0.44040595940405963,mixed
10,0.1,10000,10,6.55,0.6336166383361663,0.3014898510148985,mixed
10,0.1,10000,10,6.6,0.6302169783021698,0.3023397660233976,mixed
10,0.1,10000,10,6.65,0.7558244175582443,0.19002099790020996,mixed
10,0.1,10000,10,6.7,0.8998000199980002,0.07305269473052695,mixed
10,0.1,10000,10,6.75,0.925947405259474,0.048725127487251274,monopoly
10,0.1,10000,10,6.8,0.8904709529047097,0.07545245475452456,mixed
10,0.1,10000,10,6.85,0.9225877412258774,0.05266473352664734,monopoly
10,0.1,10000,10,6.9,0.9445055494450557,0.034186581341865814,monopoly
