N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1_rel,error
2,1.0,0.5,0.02,1.0,0.1,10000,610.0,0.04564574165925626,0.0007779892421705278
2,1.0,0.5,0.04,1.0,0.1,10000,600.0,0.07809826560613571,0.0007738822790534553
2,1.0,0.5,0.06,1.0,0.1,10000,600.0,0.10556707257328989,0.0008511407674567244
2,1.0,0.5,0.08,1.0,0.1,10000,600.0,0.12943683687377333,0.0009082159948441667
2,1.0,0.5,0.1,1.0,0.1,10000,600.0,0.1491957623580791,0.0009263540321746917
2,1.0,0.5,0.12,1.0,0.1,10000,600.0,0.16736590150723044,0.000974362760533153
2,1.0,0.5,0.14,1.0,0.1,10000,600.0,0.17910675533891746,0.0010029396024244085
2,1.0,0.5,0.16,1.0,0.1,10000,600.0,0.1923488410069362,0.0010363797922477614
2,1.0,0.5,0.18,1.0,0.1,10000,600.0,0.2050612148294479,0.0010440936355697295
2,1.0,0.5,0.2,1.0,0.1,10000,600.0,0.21454651932694552,0.0010653395935663415
2,1.0,0.5,0.22,1.0,0.1,10000,600.0,0.22041615596734687,0.001072045783553864
2,1.0,0.5,0.24,1.0,0.1,10000,600.0,0.22694562079338682,0.0010889311374486503
2,1.0,0.5,0.26,1.0,0.1,10000,600.0,0.23025920439514502,0.001111855799308973
2,1.0,0.5,0.28,1.0,0.1,10000,600.0,0.23650375671197157,0.0011267821616564246
2,1.0,0.5,0.3,1.0,0.1,10000,600.0,0.24073902145468642,0.0011265612934301878
2,1.0,0.5,0.32,1.0,0.1,10000,600.0,0.24865565211411972,0.001159326750423279
2,1.0,0.5,0.34,1.0,0.1,10000,600.0,0.24726365953804139,0.0011676369130041487
2,1.0,0.5,0.36,1.0,0.1,10000,600.0,0.2475546183793959,0.0011740935898670241
2,1.0,0.5,0.38,1.0,0.1,10000,600.0,0.2572259793009451,0.0011794185068285295
2,1.0,0.5,0.4,1.0,0.1,10000,600.0,0.25250263176477006,0.0011839430888815714
