N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1_rel,error
2,1.0,0.5,0.02,1.0,0.1,10000,610.0,0.04564574165925626,0.00040048585405653725
2,1.0,0.5,0.04,1.0,0.1,10000,600.0,0.07809826560613571,0.0006712484568805874
2,1.0,0.5,0.06,1.0,0.1,10000,600.0,0.10556707257328989,0.0009833041566071317
2,1.0,0.5,0.08,1.0,0.1,10000,600.0,0.12943683687377333,0.0012734691387512181
2,1.0,0.5,0.1,1.0,0.1,10000,600.0,0.1491957623580791,0.0013779021656279498
2,1.0,0.5,0.12,1.0,0.1,10000,600.0,0.16736590150723044,0.0016860747287837951
2,1.0,0.5,0.14,1.0,0.1,10000,600.0,0.17910675533891746,0.0018936102573200945
2,1.0,0.5,0.16,1.0,0.1,10000,600.0,0.1923488410069362,0.0021648018145613416
2,1.0,0.5,0.18,1.0,0.1,10000,600.0,0.2050612148294479,0.0022230141689210635
2,1.0,0.5,0.2,1.0,0.1,10000,600.0,0.21454651932694552,0.002411591018539102
2,1.0,0.5,0.22,1.0,0.1,10000,600.0,0.22041615596734687,0.0024728581455762248
2,1.0,0.5,0.24,1.0,0.1,10000,600.0,0.22694562079338682,0.0026373232726761933
2,1.0,0.5,0.26,1.0,0.1,10000,600.0,0.23025920439514502,0.0028594879501248707
2,1.0,0.5,0.28,1.0,0.1,10000,600.0,0.23650375671197157,0.00301721358285229
2,1.0,0.5,0.3,1.0,0.1,10000,600.0,0.24073902145468642,0.0030153770212253
2,1.0,0.5,0.32,1.0,0.1,10000,600.0,0.24865565211411972,0.0033866543724463253
2,1.0,0.5,0.34,1.0,0.1,10000,600.0,0.24726365953804139,0.003487547517211217
2,1.0,0.5,0.36,1.0,0.1,10000,600.0,0.2475546183793959,0.003554891873042586
2,1.0,0.5,0.38,1.0,0.1,10000,600.0,0.2572259793009451,0.003619866608397166
2,1.0,0.5,0.4,1.0,0.1,10000,600.0,0.25250263176477006,0.003675627137206189
2,1.0,0.5,0.42,1.0,0.1,10000,600.0,0.25326926569160296,0.0037009048205268445
2,1.0,0.5,0.44,1.0,0.1,10000,600.0,0.2509891814280556,0.004063252904443448
2,1.0,0.5,0.46,1.0,0.1,10000,600.0,0.25474768516124335,0.004073992889647871
2,1.0,0.5,0.48,1.0,0.1,10000,600.0,0.25653249002885425,0.004137789824140512
2,1.0,0.5,0.5,1.0,0.1,10000,600.0,0.2530087073484296,0.0040943064683723164
2,1.0,0.5,0.52,1.0,0.1,10000,600.0,0.2568067422224188,0.004205079068655079
2,1.0,0.5,0.54,1.0,0.1,10000,600.0,0.257275191026904,0.004199038596827142
2,1.0,0.5,0.56,1.0,0.1,10000,600.0,0.2583754571777505,0.0040147452780275395
2,1.0,0.5,0.58,1.0,0.1,10000,600.0,0.2521537488802494,0.004439245488583199
2,1.0,0.5,0.6,1.0,0.1,10000,600.0,0.24848340538850242,0.004471691672109303
2,1.0,0.5,0.62,1.0,0.1,10000,600.0,0.2509493488178189,0.004806363472261747
2,1.0,0.5,0.64,1.0,0.1,10000,600.0,0.24953758677310797,0.004856064685748145
2,1.0,0.5,0.66,1.0,0.1,10000,600.0,0.24660878051496407,0.00464659310394225
2,1.0,0.5,0.68,1.0,0.1,10000,600.0,0.24830177793064906,0.004419211559387947
2,1.0,0.5,0.7000000000000001,1.0,0.1,10000,600.0,0.25113192993754957,0.004826262141690165
2,1.0,0.5,0.72,1.0,0.1,10000,600.0,0.24848616617528113,0.005011675601500024
2,1.0,0.5,0.74,1.0,0.1,10000,600.0,0.23996555129742494,0.004867085542750236
2,1.0,0.5,0.76,1.0,0.1,10000,600.0,0.2356232634409122,0.004990243752303593
2,1.0,0.5,0.78,1.0,0.1,10000,600.0,0.24841994353696323,0.005011966719362462
2,1.0,0.5,0.8,1.0,0.1,10000,600.0,0.2356783304004911,0.005190632904843381
2,1.0,0.5,0.8200000000000001,1.0,0.1,10000,600.0,0.24257728335552328,0.005193413976532616
2,1.0,0.5,0.84,1.0,0.1,10000,600.0,0.23380319589715265,0.005219115074006364
2,1.0,0.5,0.86,1.0,0.1,10000,600.0,0.23633737369102875,0.0051497746598104495
2,1.0,0.5,0.88,1.0,0.1,10000,600.0,0.23337024887506255,0.005396735516390856
2,1.0,0.5,0.9,1.0,0.1,10000,600.0,0.23059982002205312,0.005392261723720169
2,1.0,0.5,0.92,1.0,0.1,10000,600.0,0.23348718179595598,0.005237651774431582
2,1.0,0.5,0.94,1.0,0.1,10000,600.0,0.22516026210157805,0.005334514600702618
2,1.0,0.5,0.96,1.0,0.1,10000,600.0,0.2242533423903628,0.0053674292845967975
2,1.0,0.5,0.98,1.0,0.1,10000,600.0,0.22574776530635282,0.0058144042598223915
