N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1_rel,error
2,100,0.5,0.02,1.0,0.025,10000,5.0,0.0088575448118143,0.0006941595808245
2,100,0.5,0.02,1.0,0.05,10000,5.0,0.0160078461243701,0.0010960275360743
2,100,0.5,0.02,1.0,0.075,10000,5.0,0.0295332270975657,0.0011322693649397
2,100,0.5,0.02,1.0,0.1,10000,110.0,0.045754727125938206,0.0008008066429368233
2,100,0.5,0.04,1.0,0.025,10000,5.0,0.0092424518267923,0.0017097527698481
2,100,0.5,0.04,1.0,0.05,10000,5.0,0.0249273116392656,0.0007061342469516998
2,100,0.5,0.04,1.0,0.075,10000,5.0,0.0444854825555677,0.0029255736542918
2,100,0.5,0.04,1.0,0.1,10000,110.0,0.07979057832179667,0.0015815044482433143
2,100,0.5,0.06,1.0,0.025,10000,5.0,0.0128557190441668,0.0007273674899089999
2,100,0.5,0.06,1.0,0.05,10000,5.0,0.0308810768708227,0.0022867878787576
2,100,0.5,0.06,1.0,0.075,10000,5.0,0.067764165114209,0.0044300108709608
2,100,0.5,0.06,1.0,0.1,10000,110.0,0.10462030782334121,0.0025262217527184504
2,100,0.5,0.08,1.0,0.025,10000,5.0,0.0137288441292645,0.0027074531854532
2,100,0.5,0.08,1.0,0.05,10000,5.0,0.0355603263192689,0.0017844967341717997
2,100,0.5,0.08,1.0,0.075,10000,5.0,0.0705257245149329,0.0022378324491661
2,100,0.5,0.08,1.0,0.1,10000,105.0,0.1269785281541056,0.0029505624351896706
2,100,0.5,0.1,1.0,0.025,10000,5.0,0.0127077599665458,0.001578266993274
2,100,0.5,0.1,1.0,0.05,10000,5.0,0.0513059167297655,0.0024837320751646
2,100,0.5,0.1,1.0,0.075,10000,5.0,0.0832577654570438,0.008005291344705697
2,100,0.5,0.1,1.0,0.1,10000,105.0,0.14701486314526346,0.003545542842298078
2,100,0.5,0.12,1.0,0.025,10000,5.0,0.0145421834019526,0.0034006328042850997
2,100,0.5,0.12,1.0,0.05,10000,5.0,0.0553837783308251,0.005245812161268599
2,100,0.5,0.12,1.0,0.075,10000,5.0,0.1097091662874307,0.0101390324574194
2,100,0.5,0.12,1.0,0.1,10000,105.0,0.16461262073484154,0.002794689239698721
2,100,0.5,0.14,1.0,0.025,10000,5.0,0.0203102834279507,0.0011862691684234
2,100,0.5,0.14,1.0,0.05,10000,5.0,0.0475273788825428,0.0048657463085041
2,100,0.5,0.14,1.0,0.075,10000,5.0,0.0966277583473052,0.0109465239997209
2,100,0.5,0.14,1.0,0.1,10000,105.0,0.18628305195199274,0.004202148736318092
2,100,0.5,0.16,1.0,0.025,10000,5.0,0.0085242974372537,0.0018346786397797
2,100,0.5,0.16,1.0,0.05,10000,5.0,0.0587774151353848,0.0084894446409105
2,100,0.5,0.16,1.0,0.075,10000,5.0,0.10213205731551192,0.007639392395270399
2,100,0.5,0.16,1.0,0.1,10000,105.0,0.19323404609663822,0.003658178816244124
2,100,0.5,0.18,1.0,0.025,10000,5.0,0.0087211553280534,0.0024965776013594998
2,100,0.5,0.18,1.0,0.05,10000,5.0,0.054973317133221,0.012482672018415599
2,100,0.5,0.18,1.0,0.075,10000,5.0,0.0953164451788927,0.0047770000568892
2,100,0.5,0.18,1.0,0.1,10000,105.0,0.21191330114314938,0.004302368045940969
2,100,0.5,0.2,1.0,0.025,10000,5.0,0.010899059381061,0.0019205680389197998
2,100,0.5,0.2,1.0,0.05,10000,5.0,0.0577388944327686,0.0119441266252074
2,100,0.5,0.2,1.0,0.075,10000,5.0,0.1192727551293028,0.0138578759537051
2,100,0.5,0.2,1.0,0.1,10000,105.0,0.20869247761511747,0.005087529443728679
2,100,0.5,0.22,1.0,0.025,10000,5.0,0.0146865018746837,0.0032476482367443
